manifest,canvas,curation
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p21,https://mp.ex.nii.ac.jp/api/kuronet/curation/cd12c76c13424c0585037e6b956ac2204afa60ac
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p21,https://mp.ex.nii.ac.jp/api/kuronet/curation/2bec03590add7a521ec2088043a33bafde428ca3
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p20,https://mp.ex.nii.ac.jp/api/kuronet/curation/ce3ddb40a11b72bb9d86621814581102f90fd8c7
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p20,https://mp.ex.nii.ac.jp/api/kuronet/curation/1c166b7d6138cef392fadf8d4cc940e48e0f15c3
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p19,https://mp.ex.nii.ac.jp/api/kuronet/curation/7da3faac27fbcb5da04747852313f3c7241efaaf
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p19,https://mp.ex.nii.ac.jp/api/kuronet/curation/9931db9f1acd1caa9d730164d24457183f376521
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p18,https://mp.ex.nii.ac.jp/api/kuronet/curation/2675f9810e4ac69d26e433ad06a560b88af8d3ea
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p18,https://mp.ex.nii.ac.jp/api/kuronet/curation/9cc1a8a81d2b7d661c5f6ea66beeda483a7609c3
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p17,https://mp.ex.nii.ac.jp/api/kuronet/curation/9e2291ac1864d50a11a85f596ea1d35858a2e680
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p17,https://mp.ex.nii.ac.jp/api/kuronet/curation/ef84983cf9101bc2d92d196373920f7398d7146f
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p16,https://mp.ex.nii.ac.jp/api/kuronet/curation/7c1bb3317a2d619b6f9d1475a4e3585377fb3191
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p16,https://mp.ex.nii.ac.jp/api/kuronet/curation/924e3d089a4b48de3320a53cbba20b24896f827b
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p15,https://mp.ex.nii.ac.jp/api/kuronet/curation/e056900d475fcbb3606faec189df7ebc9db9c246
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p15,https://mp.ex.nii.ac.jp/api/kuronet/curation/1f431c4b8d8d459b3381e3cc21633ed2450dea8b
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p14,https://mp.ex.nii.ac.jp/api/kuronet/curation/b1490ae29d7ff4dd28a4a1702c5628c4a89e236a
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p14,https://mp.ex.nii.ac.jp/api/kuronet/curation/3d3b53d30b6637306a7cebb1fcfbcf735cf7d32e
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p13,https://mp.ex.nii.ac.jp/api/kuronet/curation/add3a3b402051545d2da48be3b9096a62ad83709
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p13,https://mp.ex.nii.ac.jp/api/kuronet/curation/73b31891fb9074b02f01469ccf132e2548445e67
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p12,https://mp.ex.nii.ac.jp/api/kuronet/curation/e977572c878c288917e923e485cfadfd05dcb2e7
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p12,https://mp.ex.nii.ac.jp/api/kuronet/curation/65269e8dc0a13eefe6dbeb79b38434b4d839248b
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p11,https://mp.ex.nii.ac.jp/api/kuronet/curation/ee4d1dabe849bd37696dd04783570d5f189da287
